Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,521,OUTLIER,Meat tastes good to me,I cook meat at home,I am concerned about climate change,Doctor recommended I eat lean beef,I eat lean beef to reduce fat
0,251,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken turkey, eat fish, chicken eat, eat chicken fish",I choose chicken and turkey for health,I still eat fish and chicken,I have added more fish for health benefits,I enjoy cooking with chicken,I eat mostly chicken and fish when dining out
1,204,"protein, want protein, want, meat protein, source, protein want, protein meat, iron, high protein, protein eat",I believe meat provides necessary protein,Meat is high in protein,Easier to get protein from meat,Meat has high protein and low carb,White meat is high in protein
2,190,"red, red meat, eat red, eat red meat, cut, eating red, meat, eating red meat, avoid red, avoid red meat",I eat less red meat,Red meat is bad for health,I have not eaten red meat in 20 years,Red meat is unhealthy,I eat red meat about once a week
3,138,"family, family eats, eats, family eats meat, meat family, eats meat, meat family eats, meat, eats meat regularly, family members",My family stopped eating meat,Family pressured me to eat meat,One family member eats only white meat,My family eats meat daily,My family eats meat every day
4,135,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, vegetarian options, pescatarian, years, friends",I sometimes have vegetarian meals,I missed variety in vegetarian menus,I wish I could be vegetarian,I became vegetarian,My husband became vegetarian
5,106,"reducing, reducing meat, consumption, meat consumption, limit meat, limit, considered, reduce meat, reduce, try",I sometimes reduce meat due to health issues,I am reducing animal product consumption,I try to reduce meat consumption,I have reduced meat per meal,I have not considered reducing meat
6,88,"expensive, prices, meat prices, meat expensive, choices, cost, price, meat choices, expensive meat, influences",I cannot afford expensive meats,Meat is cost prohibitive,Local meat is too expensive for me,Meat for breakfast is expensive,Cost of meat is expensive
7,82,"animals, animal, eating animals, care, rights, animal rights, care animal, concerned animal, welfare, animal welfare",I am concerned about animal rights,I approve eating animals if not cruel,A friend is concerned about animal suffering,I dislike how animals are treated,I am concerned about animal cruelty
8,80,"times, eat meat times, meat times, week, week eat, week eat meat, weekly eat meat, weekly eat, weekly, times week",I eat meat a few times a week,I eat meat four or five times a week,I eat meat three to four times weekly,I eat meat three or four times a week,I eat meat three times a week
9,72,"concerned health, health, concerned, health concerns, concerned health concerned, health concerned, concerns, diabetes, heart, health concerned health",I am concerned about health,I am concerned about kidney health,I am concerned about my health,I am concerned about health impacts,I am concerned about health effects
10,68,"weight, want, diet, lose, lose weight, weight want, balanced, diet want, want lose, balanced diet",I am very conscious about my diet,I am trying to lose weight,I want to avoid weight gain,I want to regulate my weight,I want to eat healthier and add variety
11,64,"contacts, social contacts, social, meat social, meat social contacts, contacts eat, social contacts eat, contacts eat meat, taste meat social, eating meat social",Social contacts also eat meat out of habit,Social contacts eat meat regularly,Most social contacts eat meat,My social contacts eat meat for nutrition,Social contacts prefer eating meat
12,63,"meat regularly eat, eat meat regularly, regularly eat, meat regularly, regularly eat meat, regularly, eat meat, meat eat meat, eat, meat eat",I eat meat regularly,I eat wild game meats,I eat meat often,I keep kosher and eat kosher meat,I regularly eat meat
13,61,"tradition, family tradition, family, cultural, meat family tradition, eating meat family, gatherings, meat family, culture, include",Eating meat is family tradition,Eating meat is a family tradition,Family traditions involve eating meat,Eating meat is a cultural habit in my family,Meat is prevalent in my cultural cuisine
14,61,"enjoy taste meat, enjoy taste, meat enjoy taste, taste meat enjoy, meat enjoy, enjoy, taste meat, taste, texture, texture meat",I enjoy the taste of meat,People I know enjoy the taste of meat,I enjoy pleasant meat aromas during cooking,I enjoy the flavor of some meats,I enjoy the flavor of meat
15,60,"eat meat meals, meal eat, meat meal eat, meat meals eat, meal eat meat, meals eat, meat meal, eat meat meal, meat meals, meals eat meat",I eat meat most meals,I eat meat at every meal,I eat meat for most meals,I eat meat at most meals,I eat meat with most meals
16,59,"include, include meat, meat easy, convenient, meals, easy, meat convenient, include meat meals, meals meat, meat easy cook",Most dinners I cook include meat,I include meat with meals once daily,I include meat in most meals,Meat is the meal standard for me,Meat has variety for different meals
17,55,"grew, grew eating, raised, grew eating meat, raised eating, meat grew, raised eating meat, eating meat, eating, eating meat grew",I grew up eating meat regularly,I switched to eating meat as an adult,I grew up eating meat,I grew up eating meat-centered meals,Southern cuisine was central when growing up
