Topic,Count,Name,Representation,Representative_Docs
-1,739,-1_meat_eating_eating meat_eat,"['meat', 'eating', 'eating meat', 'eat', 'eat meat', 'beef', 'regularly', 'people', 'meat regularly', 'pork']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
0,343,0_meat_believe_expensive_believe meat,"['meat', 'believe', 'expensive', 'believe meat', 'health', 'choices', 'meats', 'processed', 'prices', 'meat expensive']","['Meat is very expensive', 'Meat can be expensive for me', 'Meat is too expensive']"
1,305,1_family_meat family_friends_meat,"['family', 'meat family', 'friends', 'meat', 'family eats', 'eats', 'eats meat', 'family eats meat', 'friends eat', 'friends eat meat']","['My family eats meat', 'My family eats more meat than I do', 'All my family eats meat']"
2,294,2_chicken_fish_eat chicken_eat,"['chicken', 'fish', 'eat chicken', 'eat', 'turkey', 'chicken fish', 'vegetables', 'chicken turkey', 'prefer', 'eat fish']","['I mostly eat chicken', 'I eat mostly chicken', 'I eat chicken most often']"
3,257,3_want_health_weight_concerned,"['want', 'health', 'weight', 'concerned', 'motivated', 'concerned health', 'cholesterol', 'concerns', 'health concerns', 'diet']","['I am concerned about health', 'I am concerned about my health', 'I am concerned about my health']"
4,209,4_protein_want_want protein_meat protein,"['protein', 'want', 'want protein', 'meat protein', 'protein want', 'source', 'protein meat', 'iron', 'high protein', 'eat meat protein']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
5,188,5_red_red meat_meat_eat red,"['red', 'red meat', 'meat', 'eat red', 'eat red meat', 'cut', 'eating red', 'eating red meat', 'avoid', 'avoid red']","['I eat less red meat', 'I still eat red meat sometimes', 'I eat less red meat']"
6,142,6_reducing_reducing meat_consumption_meat,"['reducing', 'reducing meat', 'consumption', 'meat', 'considered', 'meat consumption', 'reduce', 'reduced', 'meat health', 'reduce meat']","['I considered reducing meat for my health', 'I am reducing meat consumption', 'I have not considered reducing meat consumption']"
7,136,7_vegetarian_vegan_vegetarian meals_vegetarians,"['vegetarian', 'vegan', 'vegetarian meals', 'vegetarians', 'meals', 'options', 'friends', 'vegetarian options', 'pescatarian', 'years']","['I became vegetarian', 'I am vegetarian', 'I am a vegetarian']"
8,127,8_animal_welfare_animal welfare_concerned animal,"['animal', 'welfare', 'animal welfare', 'concerned animal', 'animals', 'concerned animal welfare', 'concerned', 'animal welfare concerned', 'welfare concerned', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
9,108,9_taste meat_taste_enjoy taste meat_meat enjoy,"['taste meat', 'taste', 'enjoy taste meat', 'meat enjoy', 'enjoy taste', 'taste meat enjoy', 'enjoy', 'meat enjoy taste', 'meat like', 'like taste meat']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
10,107,10_feel_meat_filling_limit meat,"['feel', 'meat', 'filling', 'limit meat', 'limit', 'try', 'try limit', 'moderation', 'try limit meat', 'eating']","['I try to limit my meat consumption', 'I try to limit meat consumption', 'I try to limit meat']"
11,104,11_meals_meal_eat_eat meat,"['meals', 'meal', 'eat', 'eat meat', 'eat meat meals', 'meat meals', 'meat meal', 'meat', 'eat meat meal', 'meals eat']","['I eat meat with some meals', 'I eat meat with most meals', 'I eat meat at most meals']"
12,86,12_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
13,81,13_contacts_social contacts_social_meat social,"['contacts', 'social contacts', 'social', 'meat social', 'meat social contacts', 'contacts eat', 'contacts eat meat', 'social contacts eat', 'friends', 'meat']","['Social contacts eat meat regularly', 'My social contacts eat meat regularly', 'Most social contacts eat meat']"
14,80,14_meals_include_include meat_meat,"['meals', 'include', 'include meat', 'meat', 'meat easy', 'easy', 'convenient', 'include meat meals', 'cook', 'meat convenient']","['I include meat in most meals', 'I include meat in most meals', 'I always include meat in my meals']"
15,76,15_eat meat day_meat day_day_eat meat,"['eat meat day', 'meat day', 'day', 'eat meat', 'day eat', 'day eat meat', 'meat day eat', 'meat daily', 'daily', 'eat meat daily']","['I eat meat almost every day', 'I eat meat every day', 'I eat meat every day']"
16,76,16_times_eat meat times_meat times_eat meat,"['times', 'eat meat times', 'meat times', 'eat meat', 'week', 'week eat', 'week eat meat', 'weekly eat meat', 'eat', 'weekly eat']","['I eat meat several times a week', 'I eat meat four or five times a week', 'I eat meat several times a week']"
