embed_model_outname,run_id,run_dir,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,n_total,n_topics,dbcv,n_outliers,n_topic0,outlier_rate,topic0_ratio,outlier_0_ratio,distortion,mean_assigned_prob
bert-base-nli-mean-tokens,20260210_222825_08d0114d,run_20260210_222825_08d0114d,30,2,0.1,25,5,3458,49,0.42632536642625773,615,234,0.17784846732215154,0.06766917293233082,0.24551764025448236,0.12675593400814983,0.6753054651386378
bert-base-nli-mean-tokens,20260210_222655_488612a3,run_20260210_222655_488612a3,30,10,0.1,50,5,3458,23,0.42325685917245565,790,462,0.22845575477154426,0.13360323886639677,0.36205899363794103,0.1630868606906066,0.6867326835195137
bert-base-nli-mean-tokens,20260210_222754_ed3011b2,run_20260210_222754_ed3011b2,15,2,0.1,25,5,3458,43,0.41687175363431966,639,307,0.18478889531521112,0.08877964141122036,0.27356853672643144,0.13890710956198649,0.6861935766894397
bert-base-nli-mean-tokens,20260210_222644_d8c0bf40,run_20260210_222644_d8c0bf40,30,10,0.1,25,5,3458,43,0.4005265249398556,668,254,0.19317524580682474,0.07345286292654714,0.2666281087333719,0.12501598978982603,0.6706579320964767
bert-base-nli-mean-tokens,20260210_222836_5385f300,run_20260210_222836_5385f300,30,2,0.1,50,5,3458,19,0.39732129542814154,718,323,0.20763447079236552,0.09340659340659341,0.30104106419895893,0.16678733651655434,0.6189174482757487
bert-base-nli-mean-tokens,20260210_222815_72be4522,run_20260210_222815_72be4522,15,2,0.1,75,5,3458,11,0.36412534057240165,451,936,0.1304222093695778,0.2706766917293233,0.4010989010989011,0.2038979229437064,0.7164863773033833
bert-base-nli-mean-tokens,20260210_222858_5b774dc2,run_20260210_222858_5b774dc2,45,2,0.1,25,5,3458,44,0.348346236591519,735,199,0.2125506072874494,0.05754771544245228,0.2700983227299017,0.12542279942964657,0.6536322070059806
bert-base-nli-mean-tokens,20260210_222707_bb97a7d1,run_20260210_222707_bb97a7d1,30,10,0.1,75,5,3458,11,0.3475315450150155,642,735,0.18565644881434354,0.2125506072874494,0.39820705610179297,0.20006661222908984,0.7190674705695472
bert-base-nli-mean-tokens,20260210_222847_639c9282,run_20260210_222847_639c9282,30,2,0.1,75,5,3458,18,0.30857046044583086,661,323,0.19115095430884904,0.09340659340659341,0.28455754771544245,0.1701885318389568,0.7433059749850515
bert-base-nli-mean-tokens,20260210_222623_694db0dd,run_20260210_222623_694db0dd,15,10,0.1,50,5,3458,19,0.30847034095829823,597,645,0.17264314632735686,0.186524002313476,0.3591671486408329,0.17627655504592354,0.6912809586531866
bert-base-nli-mean-tokens,20260210_222612_c4427094,run_20260210_222612_c4427094,15,10,0.1,25,5,3458,37,0.2931168782275272,623,467,0.18016194331983806,0.13504916136495085,0.3152111046847889,0.15230799702109482,0.6285026530009291
bert-base-nli-mean-tokens,20260210_222718_9bc86f62,run_20260210_222718_9bc86f62,45,10,0.1,25,5,3458,42,0.28839302722885357,878,201,0.253903990746096,0.058126084441873914,0.31203007518796994,0.11891373148722242,0.6187767601078984
bert-base-nli-mean-tokens,20260210_222730_ec23d79d,run_20260210_222730_ec23d79d,45,10,0.1,50,5,3458,20,0.2789564198588664,724,466,0.20936957779063042,0.13475997686524002,0.3441295546558704,0.16649252650462196,0.6573498139301589
bert-base-nli-mean-tokens,20260210_222805_aae4efc3,run_20260210_222805_aae4efc3,15,2,0.1,50,5,3458,14,0.27291714319209565,531,936,0.15355696934644303,0.2706766917293233,0.4242336610757663,0.19180466397084756,0.7478283629233884
bert-base-nli-mean-tokens,20260210_222909_2c7e6aba,run_20260210_222909_2c7e6aba,45,2,0.1,50,5,3458,19,0.2657050928808601,502,614,0.14517061885482938,0.1775592828224407,0.3227299016772701,0.1718307366047725,0.6900062486443853
bert-base-nli-mean-tokens,20260210_222633_1e0208b6,run_20260210_222633_1e0208b6,15,10,0.1,75,5,3458,12,0.1879950010245013,464,879,0.1341816078658184,0.2541931752458068,0.3883747831116252,0.2067328473190984,0.7248360172052533
bert-base-nli-mean-tokens,20260210_222742_7214be34,run_20260210_222742_7214be34,45,10,0.1,75,5,3458,9,0.1675967177140534,342,1680,0.0989010989010989,0.48582995951417,0.584731058415269,0.24027246557204807,0.6886025399811875
bert-base-nli-mean-tokens,20260210_222921_a7ec1ab8,run_20260210_222921_a7ec1ab8,45,2,0.1,75,5,3458,13,0.13353162895489118,625,614,0.1807403123192597,0.1775592828224407,0.3582995951417004,0.19112084294181808,0.657986223255554
