Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,718,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I like the taste of meat,Doctor recommended I eat lean beef,I eat lean beef to reduce fat
0,323,"want, plantbased, vegetables, diet, meals, healthy, healthier, food, foods, eat",I want to be healthy,Convenience motivates my food choices,Cost influences my food choices,Convenience influences what I eat,I eat out often for entertainment
1,307,"red, red meat, meat, consumption, avoid, limit, meat health, meat consumption, reasons, health",I skip meat at breakfast,My fiance considered eating less meat for health,I eat less beef than before,I want to eat less meat,I considered reducing meat for my health
2,234,"meat, easy, good, believe, meat easy, protein, meat tastes, meat feels, tastes, prefer",Meat tastes great with meals,Meat is satisfying and filling,I value variety in types of meat,Meat substitutes are accepted if taste is similar,Meat is tasty to eat
3,207,"expensive, meat expensive, meat, dislike, unhealthy, red meat, red, prices, meat prices, eating",I feel guilty about eating animals,Meat upsets my stomach sometimes,I believe red meat is hard to digest,I believe seafood is risky due to toxins,I hear meat is bad for the planet
4,192,"chicken, eat chicken, fish, turkey, chicken fish, eat, chicken turkey, prefer, eat chicken fish, chicken eat",I mostly eat chicken,I primarily eat chicken,I mainly eat chicken or fish,I substitute red meat with chicken or turkey,My significant other mostly eats chicken
5,187,"meat, protein, eat meat, meat protein, eat meat protein, eat, cut, protein meat, meat provides, provides",Meat filled with synthetic chemicals,I balance meat and vegetarian products,I need nutrients like iron from meat,I eat meat for vitamins like B12,I try to get enough protein from meat
6,141,"times, week, eat, week eat, eat meat, day eat, day, weekly, meat times, eat meat times",I eat meat at least once a day,I eat meat several times a week,I eat beef about twice a week,I eat meat at least twice daily,I eat meat a few times a week
7,141,"family, meat, tradition, meat family, eating, eating meat, eating meat family, family tradition, meateating, meat family tradition",Eating meat is a cultural habit in my family,I grew up in a hunting family,Meat is a cultural staple in my family,Meat is a cultural habit in my country,I live in Texas where meat-eating is common
8,118,"vegetarian, vegan, vegetarian meals, meals, friends, years, vegetarians, vegan vegetarian, vegetarian vegetarian, vegetarian vegan",My family is vegetarian,I am a philosophical Buddhist,My family includes a vegetarian,I became vegetarian,My husband became vegetarian
9,114,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, welfare concerned animal, animals",I am concerned about animal rights,I am concerned about animals,I consider animal welfare ethical dilemmas,I worry about animal welfare,I am concerned about animal welfare
10,105,"eats, eats meat, family, meat meal, family eats, regularly, meat regularly, family eats meat, meal, meat",Family meals always include meat,Friends and family eat meat regularly,All my friends and family eat meat regularly,My family eats meat regularly,My daughter eats meat regularly
11,104,"meat, eat meat, eat, family, eating meat, occasionally, eating, meat occasionally, enjoys, steak",Those around me eat meat regularly,I eat meat for lunch or dinner,Family and friends eat much more meat,I regularly reflect on my meat-eating habits,I eat meat often
12,101,"health, concerned health, concerned, health concerns, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,I am concerned about my health,I am concerned about health impacts,I had colon cancer,My wife has liver issues
13,99,"health, meat, concerns, environmental, choices, meat choices, concerned, impact, concerned meat, influences",I worry about meat’s environmental impact,I am concerned about meat origins and labeling,I am concerned about meat supply sustainability,I am aware of health problems from meat,I am concerned about fake meat products
14,85,"eat meat, eat, meat meals, eat meat meals, people, people know, people know eat, know eat, know, meat",Most friends eat a lot of meat,Most close contacts eat meat,I eat meat at most meals,I include meat in most meals,I eat meat with most meals
15,80,"protein, want protein, want, protein want, want protein want, protein want protein, need, need protein, protein diet, high protein",I need high protein intake,I want foods high in protein,I am concerned about soy and estrogen,I believe animal protein is necessary,I believe meals need a protein source
16,78,"concerned, environmental, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am environmentally conscious,I am concerned about the environment,I care about the environment,I am concerned about environmental impact
17,68,"avoid, avoid eating, meats avoid, processed, pork avoid, avoid processed, meat avoid, pork, meats, eating",I avoid foods that cause allergies,I avoid beef and pork,I avoid processed meats,I missed variety in vegetarian menus,I avoid processed meat products
18,56,"considered, reducing meat, eating, considered reducing meat, reducing, considered reducing, meat, vegetarians, social, eat pork",My meals are not influenced by others,I never eat pork,I do not crave steak,I do not care about others' dietary choices,Chicken does not get stuck in my teeth
