Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,615,OUTLIER,I enjoy eating meat,I eat meat,I eat meat at least once a day,Meat-eating is a family tradition,I feel guilty about eating animals
0,302,"avoid, red, red meat, meat, avoid eating, pork, meat avoid, eating, meats, processed",I avoid foods that cause allergies,I avoid big portions of meat,Health risks are associated with eating too much meat,I avoid steak and pork,I avoid pork for health reasons
1,288,"friends, social, contacts, social contacts, meat, eat meat, people, friends eat, eat, meat friends",Most close contacts eat meat,Social contacts were taught to eat meat,Social contacts eat meat regularly,Social support encourages vegetarianism,Social contacts enjoy the taste of meat
2,270,"chicken, fish, eat chicken, eat, prefer, chicken fish, turkey, buy, chicken turkey, eat fish",Chicken is more sustainable and healthier,My preference for protein is fish or eggs,I eat chicken and fish,Chicken and fish are more versatile,I prefer pork and chicken over beef
3,235,"family, eats, family eats, meat family, eats meat, family eats meat, meat, meat family eats, members, parents",My parents served meat with dinner,My family eats meat most nights,My family mostly eats meat like I do,My family eats meat similarly,My family consumes lots of meat
4,208,"red meat, red, meat, consumption, limit, meat consumption, reducing, cut, try, reducing meat",I eat red meat less frequently,I eat less meat than before,I eat less meat than most people,I eat less red meat,I eat less red meat now
5,198,"want, weight, motivated, diet, healthy, healthier, health, lose, lose weight, motivated health",I want to be as healthy as possible,I want to lose weight,I want to be healthy,I want more longevity,I want to regulate my weight
6,152,"vegetarian, meals, plantbased, vegetables, vegan, vegetarian meals, plantbased meals, meatless, balance, balance meat",I sometimes eat no meat,I will eat more vegetables if prepared deliciously,I occasionally eat vegan and meatless options,I sometimes enjoy meals without meat,I sometimes prefer dishes without meat
7,118,"protein, want protein, want, protein want, protein want protein, want protein want, need, iron, need protein, high protein",I want to get enough protein,I need protein in my diet,I want proper nutrition,I want protein,I want to meet protein needs
8,117,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, welfare concerned animal, animals",I am concerned about animal rights,I am concerned about animal welfare,I am concerned about harming animals,Concern for animal welfare,I am concerned about animal cruelty
9,113,"expensive, meat expensive, prices, cost, meat prices, alternatives, choices, meat, expensive meat, price",Red meat is expensive,Cost of meat is expensive,Grocery costs are increasing,Prices of beef have gone up,Red meat is more expensive than chicken
10,109,"health, concerned, concerned health, cholesterol, concerns, health concerns, health concerned, concerned health concerned, want reduce, want",I have health concerns,I am concerned about my health,I had colon cancer,I have high blood pressure,My husband has health concerns
11,101,"meat, meat easy, easy, convenient, feel, meals, filling, convenient meat, meat convenient, filling meat",Meat tastes great with meals,Meat is easy to cook,Meat is filling,Meat is convenient,Meat has appealing texture and seasoning
12,90,"protein, believe, believe meat, meat protein, eat meat protein, meat, protein meat, protein eat meat, protein eat, protein believe",I believe meat is healthy,I get most of my protein from meat,I believe meat keeps muscles healthy,I get protein from meat,I eat meat for protein
13,86,"meat meals, eat, eat meat, meals eat, eat meat meals, meals, meat meals eat, meals eat meat, occasionally, include meat",I eat meat with most dinners,I eat meat most days,I include meat in most meals,I eat meat at most meals,Most dinners I cook include meat
14,84,"taste meat, taste, enjoy taste meat, enjoy taste, taste meat enjoy, meat enjoy, meat enjoy taste, enjoy, like taste meat, like taste",I like the taste of meat,I enjoy the taste of meat,I enjoy the protein in meat,I enjoy having steak and ribs,I prefer the taste of meat
15,83,"environmental, concerned, impact, environmental impact, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",My sons are concerned about environment,I am concerned about environmental impact,I am concerned about the environment,I am concerned about environmental impacts,I am concerned about food processing and pollution
16,79,"wife, husband, partner, prefers, boyfriend, eats, meat wife, meat husband, eating, meat",My husband avoids red meat,My partner eats less meat now,My wife makes veggie dishes sometimes,My wife has similar eating habits,Significant other rarely eats meat
17,74,"times, week, week eat, meat times, eat meat times, week eat meat, weekly, weekly eat, times week, times week eat",I eat meat five times per week,I eat meat four to five nights weekly,I eat beef about twice a week,I eat red meat two times a week,I eat meat one to three times weekly
18,74,"grew, grew eating, raised, grew eating meat, eating, eating meat, raised eating, meat grew, raised eating meat, meat grew eating",I grew up eating meat,I was raised vegetarian,I was raised eating pork,I grew up eating meat regularly,I grew up eating a lot of meat
19,62,"crave, home, cook, crave meat, meat crave, meat available, steak, meat, eat meat available, meat crave meat",I eat meat when craving it,I feel addicted to meat taste,I eat steak when dining out,Cooking at home improves my health,I crave meat during my follicular phase
