Topic,Count,Name,Representation,Representative_Docs
-1,309,-1_meat_eat meat_eat_eating,"['meat', 'eat meat', 'eat', 'eating', 'eating meat', 'love', 'day', 'enjoy eating', 'enjoy eating meat', 'meat day']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
0,1290,0_eat_meat_chicken_meals,"['eat', 'meat', 'chicken', 'meals', 'eat meat', 'fish', 'eat chicken', 'want', 'beef', 'week']","['I mostly eat chicken', 'I mostly eat chicken', 'I eat meat']"
1,308,1_friends_social_contacts_social contacts,"['friends', 'social', 'contacts', 'social contacts', 'meat', 'people', 'eat meat', 'eat', 'friends eat', 'meat social']","['Family and friends eat meat regularly', 'My social contacts eat meat regularly', 'Social contacts eat meat regularly']"
2,303,2_avoid_meat_red_red meat,"['avoid', 'meat', 'red', 'red meat', 'eating', 'avoid eating', 'pork', 'meat avoid', 'meats', 'beef']","['I avoid eating red meat', 'I avoid eating red meat', 'I avoid eating red meat']"
3,240,3_family_eats_family eats_meat family,"['family', 'eats', 'family eats', 'meat family', 'eats meat', 'family eats meat', 'meat', 'meat family eats', 'members', 'parents']","['Everyone in my family eats meat', 'My family eats meat', 'My family eats meat']"
4,210,4_meat_red meat_red_consumption,"['meat', 'red meat', 'red', 'consumption', 'meat consumption', 'reducing', 'limit', 'cut', 'try', 'reducing meat']","['I limit red meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
5,176,5_protein_want_want protein_meat protein,"['protein', 'want', 'want protein', 'meat protein', 'protein want', 'iron', 'eat meat protein', 'need', 'protein eat', 'protein meat']","['I want to get enough protein', 'I want to get enough protein', 'I want protein']"
6,118,6_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'animal welfare concerned', 'welfare concerned', 'animals', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
7,95,7_habit_eating_feel_eating meat,"['habit', 'eating', 'feel', 'eating meat', 'meat habit', 'meat', 'eating meat habit', 'incomplete', 'incomplete meat', 'eating animals']","['Eating meat is a habit for me', 'Eating meat is a habit', 'Eating meat is a habit for me']"
8,88,8_health_concerned_concerned health_concerns,"['health', 'concerned', 'concerned health', 'concerns', 'concerned health concerned', 'health concerned', 'health concerns', 'cholesterol', 'health concerned health', 'heart']","['I am concerned about my health', 'I am concerned about health', 'I am concerned about my health']"
9,86,9_taste meat_taste_enjoy taste meat_enjoy taste,"['taste meat', 'taste', 'enjoy taste meat', 'enjoy taste', 'meat enjoy', 'taste meat enjoy', 'meat enjoy taste', 'enjoy', 'like taste meat', 'like taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
10,84,10_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'concerned environmental', 'concerned environmental impact', 'environment', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
11,76,11_wife_husband_partner_prefers,"['wife', 'husband', 'partner', 'prefers', 'boyfriend', 'eats', 'meat wife', 'meat husband', 'meat', 'eating']","['My wife prefers red meat', 'My husband prefers eating meat', 'My wife eats the same as I do']"
12,75,12_grew_grew eating_raised_eating,"['grew', 'grew eating', 'raised', 'eating', 'grew eating meat', 'eating meat', 'raised eating', 'meat grew', 'raised eating meat', 'meat grew eating']","['We grew up eating meat', 'I grew up eating meat', 'I grew up eating meat']"
