Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,721,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I like the taste of meat,I was raised on a farm,Those around me eat meat regularly
0,544,"family, meat, friends, social, meat family, eat meat, contacts, eats, social contacts, eat",My family eats meat,My family has always eaten meat,My family stopped preparing meat at home,My family eats meat at every meal,My family eats meat most nights
1,345,"meat, expensive, eating, habit, choices, meat expensive, eating meat, prices, diet, meals",Red meat is expensive,Rising meat prices,Red meat is more expensive than chicken,Vegetarian options are unaffordable,Non-meat options are not reasonably priced
2,244,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, chicken eat, prefer, eat fish",I mostly eat chicken,I prefer to eat chicken,I like the taste of chicken and fish,I switch to poultry for burgers,"I eat mainly fish, shrimp, or chicken"
3,215,"vegetarian, vegan, plantbased, vegetables, meals, vegetarian meals, alternatives, substitutes, vegetarians, plantbased meals",My family is vegetarian,No vegetarians in my social circle,My sister is a vegetarian,I lack confidence cooking vegetarian meals,My son is vegan
4,214,"meat, red meat, red, consumption, limit, meat consumption, cut, try, reducing, eating",I believe less meat is better for environment,I frequently think about reducing meat consumption,I considered reducing meat for my health,I cut back on red meat,Eating meat helps me avoid snacking
5,187,"concerns, meat, health, red meat, red, eating, environmental, health concerns, unhealthy, ethical",I believe pork is unhealthy,Processed meats are unhealthy,I feel unwell after eating lots of red meat,I think excess meat is unhealthy,I believe meat impacts the environment
6,165,"avoid, pork, avoid eating, meat avoid, eating, red, red meat, beef, meat, processed",I avoid red meat and pork,I avoid big portions of meat,I avoid processed meat,I avoid high animal fat options,I avoid eating red meat and pork
7,145,"protein, meat protein, believe, meat, protein meat, believe meat, source, iron, eat meat protein, meat good",I value meat for protein and nutrition,Physical activity increases protein and meat intake,I eat more protein that is non-meat,I eat meat for protein,I eat meat for protein and athletic performance
8,123,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal welfare,I am concerned about animal cruelty,I am sad about animal treatment on large farms,I want to limit animal suffering
9,109,"want, weight, motivated, weight want, lose, motivated health, healthy, lose weight, health, lose weight want",I want to lose weight,I want more longevity,I want to avoid weight loss,I work out a lot,I work out and lift weights
10,102,"health, cholesterol, concerned, concerned health, concerns, health concerns, health concerned, concerned health concerned, heart, cholesterol concerned",I have health concerns,I am concerned about my health,I am concerned about health,I am concerned about health impacts,I discuss health risks with my friend
11,100,"eat, regularly, eat meat regularly, eat meat, regularly eat, meat regularly, meat regularly eat, regularly eat meat, meat, meat eat",I eat red meat occasionally,I eat meat regularly,I have always eaten meat,I eat meat often,I used to eat a lot of meat
12,93,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I need high protein intake,I seek alternative protein sources,I want to get enough protein,I want protein for energy and focus,I try to include more protein
13,76,"day eat, day, day eat meat, meat day eat, meat day, eat meat day, eat meat, daily eat, daily, daily eat meat",I eat meat every day,I eat meat most days,I eat meat almost every day,I eat meat almost daily,I eat meat daily
14,75,"environmental, environmental impact, impact, concerned, environment, concerned environmental, concerned environmental impact, environment concerned, concerned environment, impact concerned",I care about sustainability,I am concerned about chemical additives,I want a smaller environmental footprint,I am concerned about environmental impacts,I am concerned about environmental impact
