Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,739,OUTLIER,I enjoy eating meat,I grew up eating meat at meals,I was raised on a farm,Doctor recommended I eat lean beef,I eat lean beef to reduce fat
0,343,"meat, believe, expensive, believe meat, health, choices, meats, processed, prices, meat expensive",Rising meat prices,I value convenience of having home-raised beef,Meat is too expensive for my budget,I can afford to buy meat,I choose meat that is inexpensive
1,305,"family, meat family, friends, meat, family eats, eats, eats meat, family eats meat, friends eat, friends eat meat",My family eats meat regularly,Family pressured me to eat meat,My family sometimes limits beef for health,My family supports me eating less meat,My family ate meat in moderation
2,294,"chicken, fish, eat chicken, eat, turkey, chicken fish, vegetables, chicken turkey, prefer, eat fish",I choose chicken and turkey for health,I eat chicken and beef most often,My wife prefers fish and chicken,We believe fish and chicken are healthier,I prefer poultry
3,257,"want, health, weight, concerned, motivated, concerned health, cholesterol, concerns, health concerns, diet",I plan elimination and reintegration diets,"We focus on a varied, balanced diet",I want to lose weight,I am trying to lose weight,My brother wants to eat healthier
4,209,"protein, want, want protein, meat protein, protein want, source, protein meat, iron, high protein, eat meat protein",I want to consume enough protein,I like meat's protein content,I want more protein,I get most of my protein from meat,I eat meat for protein
5,188,"red, red meat, meat, eat red, eat red meat, cut, eating red, eating red meat, avoid, avoid red",I feel fish is healthier than red meat,Red meat makes my ankles swell,I cook less red meat for my family,I eat less red meat,I eat less red meat now
6,142,"reducing, reducing meat, consumption, meat, considered, meat consumption, reduce, reduced, meat health, reduce meat",Vegetarian coworker encourages meat reduction,I have reduced white meat to twice a week,I considered reducing meat for weight loss,I want to eliminate meat from my diet,I am trying to reduce meat consumption
7,136,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, friends, vegetarian options, pescatarian, years",I tried being vegetarian,My parents are vegetarian,My nephew is vegan,I prepare vegan meals for social occasions,My dad and stepmom are vegetarians
8,127,"animal, welfare, animal welfare, concerned animal, animals, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, welfare concerned animal",I am concerned about animal rights,I am concerned about animal cruelty,I feel guilty about animal suffering,I want animals to have decent lives,I consider animal cruelty in my choices
9,108,"taste meat, taste, enjoy taste meat, meat enjoy, enjoy taste, taste meat enjoy, enjoy, meat enjoy taste, meat like, like taste meat",I like the taste of meat,I enjoy pleasant meat aromas during cooking,I enjoy the taste of meat,I like the texture of meat,I love the taste of meat
10,107,"feel, meat, filling, limit meat, limit, try, try limit, moderation, try limit meat, eating",I try to limit my meat consumption,I think about my meat consumption,I try to limit meat to once daily,I limit the meat that I eat,I feel better with less meat
11,104,"meals, meal, eat, eat meat, eat meat meals, meat meals, meat meal, meat, eat meat meal, meals eat",I eat small meat portions,A meal feels incomplete without meat,I sometimes prefer dishes without meat,I prefer small portions of meat,I eat meat with most dinners
12,86,"environmental, concerned, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I want a smaller environmental footprint,I am concerned about environmental impacts,I am not concerned about climate change
13,81,"contacts, social contacts, social, meat social, meat social contacts, contacts eat, contacts eat meat, social contacts eat, friends, meat",Social contacts are concerned about heart disease,Friends or family sometimes restrict meat for health,Social contacts care about animal welfare,Friends avoid chemical additives in food,Social contacts follow the same meat habits
14,80,"meals, include, include meat, meat, meat easy, easy, convenient, include meat meals, cook, meat convenient",Meat tastes great with meals,I include meat in most meals,I include meat while breastfeeding,Meat is easy to cook,My meals usually include meat
15,76,"eat meat day, meat day, day, eat meat, day eat, day eat meat, meat day eat, meat daily, daily, eat meat daily",I eat meat for dinner most days,I eat meat most days,I eat meat almost every day,I eat meat almost daily,Eating meat is part of my routine
16,76,"times, eat meat times, meat times, eat meat, week, week eat, week eat meat, weekly eat meat, eat, weekly eat",I eat meat four or five times weekly,I eat white meat twice a week,I limit meat to two or three days weekly,I eat meat two to three times weekly,I eat meat two or three times weekly
