key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,1,0.13890152563761252,0.13890152563761252
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,-1,0.011070915679891153,
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,5,0.8109584673388887,0.8109584673388887
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,5,1.0,1.0
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,-1,0.14489372572365836,
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,0,0.1146775281273064,0.1146775281273064
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,4,0.14296282604917432,0.14296282604917432
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,1,0.13796508993267964,0.13796508993267964
242bdf6bc5bb0b94,1,I like the taste of meat,True,-1,0.012080529052308085,
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,2,0.22787981831791518,0.22787981831791518
242bdf6bc5bb0b94,1,I was raised on a farm,True,-1,0.010318645434114104,
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,-1,0.14537218231072963,
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,4,0.28868091736957524,0.28868091736957524
242bdf6bc5bb0b94,1,I am chronically anemic,True,7,0.2100513318663175,0.2100513318663175
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,5,0.347221903588742,0.347221903588742
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,4,1.0,1.0
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I eat meat every day,True,-1,0.014256020233376581,
c0ac91fae56c6ec3,1,I like the taste of meat,True,-1,0.01211530325217249,
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,6,0.44709668639483074,0.44709668639483074
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,6,0.3736788900421775,0.3736788900421775
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,1,1.0,1.0
